vin,inv,desc,anio,kms,color,precio,bono,garantia,ubicacion,grupo,condicion,link,tipo,estatus,foraneo,cil,lts,trans
RP110766,5261,TOYOTA COROLLA BASE,2024,"49,851",BLANCO,"$350,000.00",,VALIDAR,AUTOSTAR,Mexicali,Financiera/Banco con convenio,,SEDANES COMPACTOS,DISPONIBLE,N,4,2,AUT
RM407415,5275,MAZDA 3 I SPORT,2024,"70,203",GRIS,"$240,000.00",,VALIDAR,AUTOSTAR TJ,Tijuana,Financiera/Banco con convenio,,SEDANES COMPACTOS,APARTADO,N,4,2.5,STD
PH089156,5233,HYUNDAI ELANTRA GLS PREMIUM,2023,"27,960",PLATA,"$275,000.00",,EXCELLENCE (DEFENSA A DEFENSA),AUTOSTAR,Mexicali,Financiera/Banco con convenio,,SEDANES COMPACTOS,APARTADO,N,4,2,AUT
PP066921,5093,TOYOTA COROLLA LE,2023,"54,543",PLATA,"$395,000.00","$60,000.00",3 MESES MOTOR Y TRANSMISIÓN,AUTOSTAR,Mexicali,Financiera/Banco con convenio,https://autostar.com.mx/auto/5239138/Seminuevo/Toyota-Corolla-2023,SEDANES COMPACTOS,APARTADO,N,4,2,AUT
PN049377,5240,MG GT SEDAN EXCITE,2023,"79,280",BLANCO,"$185,000.00",,VALIDAR,AUTOSTAR,Mexicali,Financiera/Banco con convenio,,SEDANES COMPACTOS,APARTADO,N,4,1.5,AUT
MM206906,5262,MAZDA 3 IGT,2021,"89,622",GRIS,"$270,000.00",,EXCELLENCE (DEFENSA A DEFENSA),AUTOSTAR,Mexicali,Financiera/Banco con convenio,,SEDANES COMPACTOS,APARTADO,N,4,2.5,AUT
NP349749,5155,TOYOTA COROLLA XLE,2022,"39,421",ROJO,"$390,000.00","$30,000.00",3 MESES MOTOR Y TRANSMISIÓN,AUTOSTAR TJ,Tijuana,Financiera/Banco con convenio,https://autostar.com.mx/auto/3644405/Seminuevo/Toyota-Corolla-2022,SEDANES COMPACTOS,VENTA URGENTE,N,4,1.8,AUT
RM414940,5286,MAZDA 3 SG,2024,"17,141",GRIS,"$395,000.00",,VALIDAR,POR RECIBIR MXLI,Mexicali,Financiera/Banco con convenio,,SEDANES COMPACTOS,POR RECIBIR,N,4,2.5,AUT
MP235225,5289,TOYOTA COROLLA LE,2021,"127,266",PLATA,$0.00,,EXCELLENCE (DEFENSA A DEFENSA),AUTOSTAR,Mexicali,Financiera/Banco con convenio,,SEDANES COMPACTOS,POR RECIBIR,N,4,1.8,AUT
K6137645,5281,FORD RANGER XLT DIESL,2019,"129,793",AZUL,"$299,000.00",,EXCELLENCE (DEFENSA A DEFENSA),AUTOSTAR,Mexicali,Financiera/Banco con convenio,,PICK-UP MEDIANOS,DISPONIBLE,N,5,3.2,AUT
R4006315,5257,TOYOTA HILUX 4X4 D DSL MT,2024,"27,425",BLANCO,"$495,000.00",,VALIDAR,AUTOSTAR TJ,Tijuana,Financiera/Banco con convenio,,PICK-UP MEDIANOS,DISPONIBLE,N,4,2.8,STD
SH003632,5144,MITSUBISHI L200 GLS DSL,2025,"38,047",BLANCO,"$535,000.00","$40,000.00",3 MESES MOTOR Y TRANSMISIÓN,AUTOSTAR TJ,Tijuana,Financiera/Banco con convenio,https://autostar.com.mx/auto/9016149/Seminuevo/Mitsubishi-L200-2025,PICK-UP MEDIANOS,VENTA URGENTE,N,4,2.4,AUT
PRA73067,5061,FORD MAVERICK LARIAT TREMOR HIGH 2,2023,"60,236",NEGRO,"$570,000.00","$60,000.00",3 MESES MOTOR Y TRANSMISIÓN,AUTOSTAR TJ,Tijuana,Financiera/Banco con convenio,https://autostar.com.mx/auto/8970003/Seminuevo/Ford-MAVERICK-2023,PICK-UP MEDIANOS,VENTA URGENTE,N,4,2,AUT
JFC36454,5028,FORD LOBO PLATINUM 4X4,2018,"126,953",GRIS,"$550,000.00","$100,000.00",3 MESES MOTOR Y TRANSMISIÓN, CARROCERIA/TALLER,Otro,Financiera/Banco con convenio,,PICK-UP GRANDE,VENTA URGENTE,N,6,3.5,AUT
NG147468,5118,CHEVROLET SILVERADO CUSTOM K 4X4,2022,"95,292",NEGRO,"$620,000.00","$60,000.00",3 MESES MOTOR Y TRANSMISIÓN,AUTOSTAR TJ,Tijuana,Financiera/Banco con convenio,https://autostar.com.mx/auto/3945879/Seminuevo/Chevrolet-Silverado-2022,PICK-UP GRANDE,VENTA URGENTE,Y,8,5.3,AUT
NG164992,5226,CHEVROLET CHEYENNE G HIGH COUNTRY 4X4,2022,"104,795",BLANCO,"$790,000.00","$60,000.00",3 MESES MOTOR Y TRANSMISIÓN,AUTOSTAR,Mexicali,Financiera/Banco con convenio,,PICK-UP GRANDE,VENTA URGENTE,N,8,6.2,AUT
SG130967,5194,CHEVROLET CHEYENNE 4X4 B RST,2025,"40,691",NEGRO,"$940,000.00","$60,000.00",3 MESES MOTOR Y TRANSMISIÓN,AUTOSTAR,Mexicali,Financiera/Banco con convenio,https://autostar.com.mx/auto/1202590/Seminuevo/Chevrolet-Cheyenne-2025,PICK-UP GRANDE,VENTA URGENTE,N,8,5.3,AUT
R3105025,5219,TOYOTA AVANZA XLE,2024,"26,165",PLATA,"$335,000.00","$20,000.00",EXTENDIDA HASTA 2031,AUTOSTAR,Mexicali,Financiera/Banco con convenio,https://autostar.com.mx/auto/7417641/Seminuevo/Toyota-Avanza-2024,MINIVAN,APARTADO,N,4,1.5,AUT
